10.10.15.63
10.10.15.63
=> creating model 'densenet169'
save_path is: {} checkpoint6
=> creating model 'densenet169'
save_path is: {} checkpoint6
building dataset from /mnt/lustre17/yangkunlin/furniture/data/train.txt
building dataset from /mnt/lustre17/yangkunlin/furniture/data/train.txt
read meta done
read meta done
building dataset from /mnt/lustre17/yangkunlin/furniture/data/valid.txt
building dataset from /mnt/lustre17/yangkunlin/furniture/data/valid.txt
read meta done
read meta done
lr is: 0.001
lr is: 0.001
Epoch: [0][0/6006]Time 20.172 (20.172)	Data 13.930 (13.930)	Loss 5.5823 (5.5823)	Prec@1 0.000 (0.000)	
Epoch: [0][10/6006]Time 0.059 (1.897)	Data 0.001 (1.274)	Loss 5.0250 (5.4331)	Prec@1 3.125 (1.705)	
Epoch: [0][20/6006]Time 0.063 (1.025)	Data 0.002 (0.671)	Loss 5.2043 (5.2582)	Prec@1 0.000 (1.935)	
Epoch: [0][30/6006]Time 0.103 (0.717)	Data 0.002 (0.457)	Loss 4.3025 (5.0656)	Prec@1 15.625 (3.528)	
Epoch: [0][40/6006]Time 0.067 (0.562)	Data 0.002 (0.347)	Loss 4.2048 (4.9155)	Prec@1 6.250 (5.259)	
Epoch: [0][50/6006]Time 0.077 (0.468)	Data 0.007 (0.282)	Loss 3.9922 (4.7550)	Prec@1 18.750 (6.863)	
Epoch: [0][60/6006]Time 0.078 (0.403)	Data 0.008 (0.237)	Loss 3.9841 (4.6132)	Prec@1 18.750 (8.863)	
Epoch: [0][70/6006]Time 0.076 (0.356)	Data 0.006 (0.205)	Loss 3.1870 (4.4856)	Prec@1 25.000 (9.991)	
Epoch: [0][80/6006]Time 0.087 (0.322)	Data 0.017 (0.180)	Loss 3.5027 (4.3646)	Prec@1 18.750 (11.767)	
Epoch: [0][90/6006]Time 0.078 (0.298)	Data 0.003 (0.164)	Loss 3.5219 (4.2658)	Prec@1 15.625 (12.637)	
Epoch: [0][100/6006]Time 0.058 (0.275)	Data 0.003 (0.148)	Loss 2.6884 (4.1624)	Prec@1 43.750 (14.171)	
Epoch: [0][110/6006]Time 0.082 (0.256)	Data 0.013 (0.135)	Loss 2.8895 (4.0674)	Prec@1 40.625 (15.456)	
Epoch: [0][120/6006]Time 0.074 (0.242)	Data 0.004 (0.124)	Loss 3.2574 (3.9759)	Prec@1 31.250 (17.330)	
Epoch: [0][130/6006]Time 0.074 (0.231)	Data 0.002 (0.116)	Loss 2.9199 (3.9044)	Prec@1 31.250 (18.631)	
Epoch: [0][140/6006]Time 0.071 (0.220)	Data 0.001 (0.108)	Loss 2.6573 (3.8299)	Prec@1 37.500 (19.836)	
Epoch: [0][150/6006]Time 0.079 (0.210)	Data 0.008 (0.101)	Loss 2.7446 (3.7644)	Prec@1 31.250 (21.068)	
Epoch: [0][160/6006]Time 0.061 (0.201)	Data 0.003 (0.095)	Loss 2.6526 (3.6943)	Prec@1 37.500 (22.244)	
Epoch: [0][170/6006]Time 0.054 (0.193)	Data 0.004 (0.090)	Loss 2.6418 (3.6237)	Prec@1 40.625 (23.410)	
Epoch: [0][180/6006]Time 0.330 (0.189)	Data 0.279 (0.087)	Loss 1.9926 (3.5644)	Prec@1 59.375 (24.568)	
Epoch: [0][190/6006]Time 0.054 (0.183)	Data 0.002 (0.083)	Loss 2.5265 (3.5003)	Prec@1 40.625 (25.589)	
Epoch: [0][200/6006]Time 0.073 (0.177)	Data 0.002 (0.079)	Loss 2.3415 (3.4459)	Prec@1 56.250 (26.415)	
Epoch: [0][210/6006]Time 0.079 (0.172)	Data 0.008 (0.076)	Loss 2.5691 (3.3935)	Prec@1 43.750 (27.355)	
Epoch: [0][220/6006]Time 0.079 (0.168)	Data 0.007 (0.073)	Loss 1.9618 (3.3423)	Prec@1 56.250 (28.196)	
Epoch: [0][230/6006]Time 0.064 (0.164)	Data 0.004 (0.070)	Loss 2.4251 (3.3008)	Prec@1 34.375 (28.801)	
Epoch: [0][240/6006]Time 0.068 (0.160)	Data 0.002 (0.067)	Loss 2.0877 (3.2559)	Prec@1 46.875 (29.448)	
Epoch: [0][250/6006]Time 0.062 (0.156)	Data 0.000 (0.064)	Loss 1.9300 (3.2101)	Prec@1 68.750 (30.266)	
Epoch: [0][260/6006]Time 0.061 (0.152)	Data 0.000 (0.062)	Loss 2.2287 (3.1722)	Prec@1 40.625 (30.759)	
Epoch: [0][270/6006]Time 0.055 (0.151)	Data 0.005 (0.060)	Loss 1.8061 (3.1312)	Prec@1 59.375 (31.458)	
Epoch: [0][280/6006]Time 0.071 (0.148)	Data 0.006 (0.058)	Loss 2.5652 (3.0925)	Prec@1 34.375 (31.995)	
Epoch: [0][290/6006]Time 0.127 (0.145)	Data 0.000 (0.056)	Loss 1.8223 (3.0538)	Prec@1 62.500 (32.721)	
Epoch: [0][300/6006]Time 0.073 (0.143)	Data 0.000 (0.054)	Loss 2.3726 (3.0167)	Prec@1 37.500 (33.285)	
Epoch: [0][310/6006]Time 0.055 (0.140)	Data 0.000 (0.053)	Loss 1.9616 (2.9778)	Prec@1 53.125 (34.064)	
Epoch: [0][320/6006]Time 0.144 (0.138)	Data 0.001 (0.051)	Loss 2.2366 (2.9457)	Prec@1 34.375 (34.638)	
Epoch: [0][330/6006]Time 0.083 (0.137)	Data 0.003 (0.051)	Loss 1.9184 (2.9100)	Prec@1 53.125 (35.319)	
Epoch: [0][340/6006]Time 0.056 (0.135)	Data 0.006 (0.050)	Loss 1.7357 (2.8764)	Prec@1 71.875 (36.015)	
Epoch: [0][350/6006]Time 0.117 (0.133)	Data 0.059 (0.049)	Loss 1.7255 (2.8477)	Prec@1 59.375 (36.512)	
Epoch: [0][360/6006]Time 0.069 (0.132)	Data 0.007 (0.048)	Loss 1.8693 (2.8208)	Prec@1 56.250 (36.937)	
Epoch: [0][370/6006]Time 0.056 (0.130)	Data 0.002 (0.047)	Loss 2.0760 (2.7960)	Prec@1 31.250 (37.323)	
Epoch: [0][380/6006]Time 0.072 (0.129)	Data 0.001 (0.046)	Loss 1.7682 (2.7680)	Prec@1 59.375 (37.877)	
Epoch: [0][390/6006]Time 0.076 (0.127)	Data 0.005 (0.045)	Loss 1.5060 (2.7427)	Prec@1 62.500 (38.299)	
Epoch: [0][400/6006]Time 0.082 (0.126)	Data 0.013 (0.044)	Loss 1.7420 (2.7177)	Prec@1 59.375 (38.669)	
Epoch: [0][410/6006]Time 0.072 (0.125)	Data 0.003 (0.044)	Loss 1.6260 (2.6946)	Prec@1 50.000 (39.043)	
Epoch: [0][420/6006]Time 0.053 (0.124)	Data 0.003 (0.043)	Loss 1.5966 (2.6717)	Prec@1 46.875 (39.371)	
Epoch: [0][430/6006]Time 0.059 (0.122)	Data 0.008 (0.042)	Loss 1.9724 (2.6521)	Prec@1 40.625 (39.617)	
Epoch: [0][440/6006]Time 0.054 (0.123)	Data 0.002 (0.041)	Loss 1.5189 (2.6303)	Prec@1 59.375 (40.001)	
Epoch: [0][450/6006]Time 0.071 (0.121)	Data 0.001 (0.041)	Loss 1.6484 (2.6101)	Prec@1 59.375 (40.431)	
Epoch: [0][460/6006]Time 0.073 (0.121)	Data 0.003 (0.040)	Loss 1.3310 (2.5894)	Prec@1 71.875 (40.815)	
Epoch: [0][470/6006]Time 0.056 (0.120)	Data 0.003 (0.039)	Loss 1.4609 (2.5700)	Prec@1 62.500 (41.162)	
Epoch: [0][480/6006]Time 0.053 (0.118)	Data 0.002 (0.039)	Loss 1.4007 (2.5493)	Prec@1 62.500 (41.509)	
Epoch: [0][490/6006]Time 0.057 (0.118)	Data 0.006 (0.038)	Loss 1.6242 (2.5284)	Prec@1 50.000 (41.847)	
Epoch: [0][500/6006]Time 0.056 (0.117)	Data 0.002 (0.037)	Loss 1.9912 (2.5109)	Prec@1 43.750 (42.172)	
Epoch: [0][510/6006]Time 0.056 (0.116)	Data 0.004 (0.037)	Loss 1.8464 (2.4937)	Prec@1 62.500 (42.515)	
Epoch: [0][520/6006]Time 0.055 (0.116)	Data 0.002 (0.037)	Loss 2.2607 (2.4795)	Prec@1 43.750 (42.730)	
Epoch: [0][530/6006]Time 0.054 (0.114)	Data 0.004 (0.036)	Loss 1.7589 (2.4648)	Prec@1 53.125 (42.897)	
Epoch: [0][540/6006]Time 0.061 (0.114)	Data 0.002 (0.035)	Loss 1.2544 (2.4484)	Prec@1 68.750 (43.184)	
Epoch: [0][550/6006]Time 0.058 (0.114)	Data 0.002 (0.036)	Loss 1.4752 (2.4312)	Prec@1 65.625 (43.478)	
Epoch: [0][560/6006]Time 0.057 (0.113)	Data 0.002 (0.035)	Loss 1.4937 (2.4146)	Prec@1 59.375 (43.783)	
Epoch: [0][570/6006]Time 0.058 (0.112)	Data 0.000 (0.034)	Loss 1.4751 (2.4001)	Prec@1 56.250 (44.035)	
Epoch: [0][580/6006]Time 0.056 (0.111)	Data 0.004 (0.034)	Loss 1.6556 (2.3866)	Prec@1 50.000 (44.261)	
Epoch: [0][590/6006]Time 0.143 (0.110)	Data 0.002 (0.033)	Loss 1.3302 (2.3734)	Prec@1 71.875 (44.464)	
Epoch: [0][600/6006]Time 0.086 (0.110)	Data 0.003 (0.033)	Loss 1.8757 (2.3602)	Prec@1 62.500 (44.733)	
Epoch: [0][610/6006]Time 0.063 (0.109)	Data 0.002 (0.033)	Loss 1.4451 (2.3453)	Prec@1 71.875 (45.039)	
Epoch: [0][620/6006]Time 0.063 (0.109)	Data 0.010 (0.032)	Loss 1.4713 (2.3294)	Prec@1 62.500 (45.360)	
Epoch: [0][630/6006]Time 0.064 (0.108)	Data 0.004 (0.032)	Loss 1.2347 (2.3148)	Prec@1 62.500 (45.652)	
Epoch: [0][640/6006]Time 0.063 (0.107)	Data 0.005 (0.031)	Loss 1.0968 (2.3018)	Prec@1 71.875 (45.866)	
Epoch: [0][650/6006]Time 0.057 (0.107)	Data 0.004 (0.031)	Loss 1.9202 (2.2907)	Prec@1 46.875 (46.011)	
Epoch: [0][660/6006]Time 0.058 (0.106)	Data 0.005 (0.031)	Loss 1.9364 (2.2822)	Prec@1 37.500 (46.104)	
Epoch: [0][670/6006]Time 0.087 (0.105)	Data 0.022 (0.030)	Loss 1.4726 (2.2693)	Prec@1 50.000 (46.335)	
Epoch: [0][680/6006]Time 0.061 (0.105)	Data 0.009 (0.030)	Loss 1.6606 (2.2576)	Prec@1 53.125 (46.512)	
Epoch: [0][690/6006]Time 0.057 (0.104)	Data 0.004 (0.030)	Loss 1.4554 (2.2459)	Prec@1 62.500 (46.717)	
Epoch: [0][700/6006]Time 0.064 (0.104)	Data 0.007 (0.029)	Loss 1.5275 (2.2359)	Prec@1 59.375 (46.915)	
Epoch: [0][710/6006]Time 0.066 (0.104)	Data 0.011 (0.029)	Loss 1.1510 (2.2253)	Prec@1 62.500 (47.099)	
